$Well : 150
DEPTH      GR         CALI       NPHI       RHOB       LLS        LLD        DT         PayFlag    PERM_core  PHI_core   PHIE       ResFlag    SW_core    SW         VCL_core   VWCL       
M          GAPI       IN         V/V        G/C3       OHMM       OHMM       us/f                                        Dec                              Dec                   Dec        
$Format : 11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3305.9704  139.8517   12.4618    0.1846     2.6605     4.3656     4.1371     81.1002    0.0000     -999.0000  -999.0000  0.0226     0.0000     -999.0000  1.0000     -999.0000  0.6147     
3306.1228  138.9927   12.4525    0.1938     2.6746     4.4430     4.1739     80.9192    0.0000     -999.0000  -999.0000  0.0198     0.0000     -999.0000  1.0000     -999.0000  0.6315     
3306.2752  139.8704   12.4538    0.1947     2.6783     4.5630     4.2645     80.9220    0.0000     -999.0000  -999.0000  0.0196     0.0000     -999.0000  1.0000     -999.0000  0.6370     
3306.4276  140.9682   12.4502    0.1939     2.6667     4.6899     4.3661     80.8415    0.0000     -999.0000  -999.0000  0.0257     0.0000     -999.0000  1.0000     -999.0000  0.6248     
3306.5800  144.8717   12.4768    0.1852     2.6539     4.8545     4.5051     80.8436    0.0000     -999.0000  -999.0000  0.0303     0.0000     -999.0000  1.0000     -999.0000  0.5783     
3306.7324  149.4467   12.5283    0.1850     2.6462     4.9292     4.5683     80.9380    0.0000     -999.0000  -999.0000  0.0335     0.0000     -999.0000  1.0000     -999.0000  0.5833     
3306.8848  152.5660   12.5325    0.1900     2.6447     4.9113     4.5479     81.0783    0.0000     -999.0000  -999.0000  0.0342     0.0000     -999.0000  1.0000     -999.0000  0.6032     
3307.0372  150.6971   12.5338    0.2019     2.6443     4.8215     4.4623     81.1197    0.0000     -999.0000  -999.0000  0.0364     0.0000     -999.0000  1.0000     -999.0000  0.6386     
3307.1896  143.3114   12.5360    0.2121     2.6427     4.6519     4.2974     81.0300    0.0000     -999.0000  -999.0000  0.0389     0.0000     -999.0000  1.0000     -999.0000  0.6445     
3307.3420  141.1796   12.5245    0.2141     2.6422     4.6006     4.2463     81.0392    0.0000     -999.0000  -999.0000  0.0378     0.0000     -999.0000  1.0000     -999.0000  0.6440     
3307.4944  141.9953   12.5373    0.2043     2.6445     4.5727     4.2178     81.0255    0.0000     -999.0000  -999.0000  0.0338     0.0000     -999.0000  1.0000     -999.0000  0.6238     
3307.6468  146.9836   12.5210    0.1973     2.6513     4.6533     4.2890     80.9021    0.0000     -999.0000  -999.0000  0.0286     0.0000     -999.0000  1.0000     -999.0000  0.6237     
3307.7992  149.4372   12.5062    0.1898     2.6609     4.7129     4.3418     80.8697    0.0000     -999.0000  -999.0000  0.0228     0.0000     -999.0000  1.0000     -999.0000  0.6208     
3307.9516  146.9866   12.5040    0.1897     2.6688     4.7244     4.3548     80.9285    0.0000     -999.0000  -999.0000  0.0194     0.0000     -999.0000  1.0000     -999.0000  0.6382     
3308.1040  142.8228   12.5098    0.1871     2.6749     4.7339     4.3599     80.9676    0.0000     -999.0000  -999.0000  0.0167     0.0000     -999.0000  1.0000     -999.0000  0.6276     
3308.2564  136.7100   12.5120    0.1805     2.6754     4.7953     4.4198     80.9770    0.0000     -999.0000  -999.0000  0.0186     0.0000     -999.0000  1.0000     -999.0000  0.5952     
3308.4088  138.2917   12.5120    0.1819     2.6703     4.9192     4.5416     80.9958    0.0000     -999.0000  -999.0000  0.0211     0.0000     -999.0000  1.0000     -999.0000  0.6083     
3308.5612  142.9877   12.5178    0.1800     2.6616     4.9329     4.5614     81.0467    0.0000     -999.0000  -999.0000  0.0252     0.0000     -999.0000  1.0000     -999.0000  0.5861     
